,City,State,Population,Latitude,Longitude,APICode,AdministrativeArea.CountryID,AdministrativeArea.EnglishName,AdministrativeArea.EnglishType,AdministrativeArea.ID,AdministrativeArea.Level,AdministrativeArea.LocalizedName,AdministrativeArea.LocalizedType,Country.EnglishName,Country.ID,Country.LocalizedName,DataSets,EnglishName,GeoPosition.Elevation.Imperial.Unit,GeoPosition.Elevation.Imperial.UnitType,GeoPosition.Elevation.Imperial.Value,GeoPosition.Elevation.Metric.Unit,GeoPosition.Elevation.Metric.UnitType,GeoPosition.Elevation.Metric.Value,GeoPosition.Latitude,GeoPosition.Longitude,IsAlias,Key,LocalizedName,PrimaryPostalCode,Rank,Region.EnglishName,Region.ID,Region.LocalizedName,SupplementalAdminAreas,TimeZone.Code,TimeZone.GmtOffset,TimeZone.IsDaylightSaving,TimeZone.Name,TimeZone.NextOffsetChange,Type,Version
27,Las Vegas,Nevada,644644,36.2292,-115.26,36.2292%2C-115.26,US,Nevada,State,NV,1,Nevada,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Las Vegas,ft,0,1987,m,5,606,36.175,-115.137,FALSE,329506,Las Vegas,89101,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Clark', 'EnglishName': 'Clark'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
28,Louisville,Kentucky,620118,38.1654,-85.6474,38.1654%2C-85.6474,US,Kentucky,State,KY,1,Kentucky,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Louisville,ft,0,452,m,5,138,38.254,-85.759,FALSE,348428,Louisville,40202,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Jefferson', 'EnglishName': 'Jefferson'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
29,Baltimore,Maryland,602495,39.3,-76.6105,39.3%2C-76.6105,US,Maryland,State,MD,1,Maryland,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Penn - Fallsway,ft,0,88,m,5,27,39.298,-76.609,FALSE,2626490,Penn - Fallsway,21202,75,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Baltimore', 'EnglishName': 'Baltimore'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
30,Milwaukee,Wisconsin,592025,43.0633,-87.9667,43.0633%2C-87.9667,US,Wisconsin,State,WI,1,Wisconsin,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Sherman Park,ft,0,678,m,5,207,43.071,-87.962,FALSE,2627329,Sherman Park,53210,75,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Milwaukee', 'EnglishName': 'Milwaukee'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
31,Albuquerque,New Mexico,560218,35.1056,-106.647,35.1056%2C-106.647,US,New Mexico,State,NM,1,New Mexico,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Albuquerque,ft,0,4903,m,5,1494,35.084,-106.651,FALSE,349680,Albuquerque,87102,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Bernalillo', 'EnglishName': 'Bernalillo'}]",MST,-7,FALSE,America/Denver,2020-03-08T09:00:00Z,City,1
32,Tucson,Arizona,545975,32.1531,-110.87,32.1531%2C-110.87,US,Arizona,State,AZ,1,Arizona,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Tucson,ft,0,2476,m,5,755,32.222,-110.926,FALSE,346936,Tucson,85716,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Pima', 'EnglishName': 'Pima'}]",MST,-7,FALSE,America/Phoenix,,City,1
33,Fresno,California,530093,36.7836,-119.793,36.7836%2C-119.793,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Fresno,ft,0,301,m,5,92,36.748,-119.772,FALSE,327144,Fresno,93702,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Fresno', 'EnglishName': 'Fresno'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
34,Mesa,Arizona,508958,33.4019,-111.717,33.4019%2C-111.717,US,Arizona,State,AZ,1,Arizona,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Mesa,ft,0,1259,m,5,384,33.422,-111.823,FALSE,331799,Mesa,85203,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Maricopa', 'EnglishName': 'Maricopa'}]",MST,-7,FALSE,America/Phoenix,,City,1
35,Sacramento,California,508529,38.5666,-121.468,38.5666%2C-121.468,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Sacramento,ft,0,65,m,5,20,38.582,-121.494,FALSE,347627,Sacramento,95814,31,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Sacramento', 'EnglishName': 'Sacramento'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
36,Atlanta,Georgia,498044,33.7629,-84.4227,33.7629%2C-84.4227,US,Georgia,State,GA,1,Georgia,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Washington Park,ft,0,918,m,5,280,33.759,-84.421,FALSE,2625729,Washington Park,30314,85,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Fulton', 'EnglishName': 'Fulton'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
